portname,week,avg_daily_transits,avg_daily_capacity
Balabac Strait,2022-05-23T00:00:00.000Z,11.142857142857142,328707.4285714286
Balabac Strait,2022-11-21T00:00:00.000Z,12.0,459162.0
Balabac Strait,2023-10-30T00:00:00.000Z,10.0,394562.5714285714
Balabac Strait,2024-01-22T00:00:00.000Z,12.571428571428571,375451.0
Balabac Strait,2024-06-03T00:00:00.000Z,9.571428571428571,209346.85714285713
Balabac Strait,2024-08-05T00:00:00.000Z,7.428571428571429,129106.0
Balabac Strait,2024-09-16T00:00:00.000Z,12.142857142857142,186204.85714285713
Balabac Strait,2025-02-24T00:00:00.000Z,8.714285714285714,221379.7142857143
Balabac Strait,2025-06-16T00:00:00.000Z,9.142857142857142,273148.14285714284
Balabac Strait,2025-09-29T00:00:00.000Z,6.571428571428571,97307.71428571429
Balabac Strait,2025-12-08T00:00:00.000Z,4.428571428571429,106410.42857142857
Dover Strait,2019-01-28T00:00:00.000Z,152.14285714285714,2775558.1428571427
Dover Strait,2019-09-23T00:00:00.000Z,145.71428571428572,2682163.285714286
Dover Strait,2020-03-16T00:00:00.000Z,170.0,2720528.8571428573
Dover Strait,2020-06-22T00:00:00.000Z,143.14285714285714,2599453.5714285714
Dover Strait,2021-04-26T00:00:00.000Z,172.42857142857142,3174328.8571428573
Dover Strait,2021-07-26T00:00:00.000Z,156.85714285714286,2796618.8571428573
Dover Strait,2022-03-14T00:00:00.000Z,166.42857142857142,3226135.1428571427
Dover Strait,2022-05-02T00:00:00.000Z,169.14285714285714,3402993.0
Dover Strait,2022-07-04T00:00:00.000Z,173.14285714285714,3241912.5714285714
Dover Strait,2022-07-25T00:00:00.000Z,167.0,3472733.8571428573
Dover Strait,2022-10-10T00:00:00.000Z,177.28571428571428,3809120.8571428573
Dover Strait,2022-10-24T00:00:00.000Z,176.57142857142858,3952903.8571428573
Dover Strait,2022-12-19T00:00:00.000Z,174.57142857142858,3796519.5714285714
Dover Strait,2023-02-27T00:00:00.000Z,184.0,3594919.285714286
Dover Strait,2023-03-06T00:00:00.000Z,167.14285714285714,3570743.8571428573
Dover Strait,2023-09-25T00:00:00.000Z,178.28571428571428,3513042.285714286
Dover Strait,2023-10-23T00:00:00.000Z,172.71428571428572,3659018.285714286
Dover Strait,2024-04-29T00:00:00.000Z,179.42857142857142,3741659.1428571427
Dover Strait,2024-07-22T00:00:00.000Z,160.85714285714286,3228935.285714286
Dover Strait,2024-12-02T00:00:00.000Z,161.85714285714286,3580694.8571428573
Dover Strait,2025-03-31T00:00:00.000Z,187.57142857142858,3838640.5714285714
Dover Strait,2025-04-07T00:00:00.000Z,179.57142857142858,3516097.8571428573
Dover Strait,2025-05-19T00:00:00.000Z,183.28571428571428,3474919.5714285714
Dover Strait,2025-11-17T00:00:00.000Z,171.85714285714286,3701702.285714286
Dover Strait,2026-04-20T00:00:00.000Z,176.14285714285714,3473003.8571428573
Dover Strait,2026-07-13T00:00:00.000Z,157.42857142857142,3448826.5714285714
Tsugaru Strait,2019-09-23T00:00:00.000Z,43.857142857142854,790774.5714285715
Tsugaru Strait,2020-03-23T00:00:00.000Z,51.285714285714285,995519.1428571428
Tsugaru Strait,2020-07-27T00:00:00.000Z,52.857142857142854,1145040.7142857143
Tsugaru Strait,2021-04-12T00:00:00.000Z,50.142857142857146,1086046.142857143
Tsugaru Strait,2022-03-14T00:00:00.000Z,42.42857142857143,863513.4285714285
Tsugaru Strait,2022-08-29T00:00:00.000Z,49.714285714285715,950370.1428571428
Tsugaru Strait,2022-10-31T00:00:00.000Z,50.42857142857143,982876.8571428572
Tsugaru Strait,2023-01-02T00:00:00.000Z,32.857142857142854,639569.1428571428
Tsugaru Strait,2023-04-03T00:00:00.000Z,42.42857142857143,1050863.5714285714
Tsugaru Strait,2023-06-19T00:00:00.000Z,44.57142857142857,901929.4285714285
Tsugaru Strait,2023-10-16T00:00:00.000Z,38.42857142857143,883939.2857142857
Tsugaru Strait,2024-01-29T00:00:00.000Z,44.0,774939.7142857143
Tsugaru Strait,2024-06-03T00:00:00.000Z,54.42857142857143,1347270.0
Tsugaru Strait,2024-09-23T00:00:00.000Z,55.714285714285715,1308195.4285714286
Tsugaru Strait,2024-09-30T00:00:00.000Z,50.42857142857143,1012826.5714285715
Tsugaru Strait,2025-06-23T00:00:00.000Z,50.42857142857143,1130485.142857143
Tsugaru Strait,2025-10-13T00:00:00.000Z,41.57142857142857,896057.2857142857
Tsugaru Strait,2025-10-27T00:00:00.000Z,36.857142857142854,788633.4285714285
Tsugaru Strait,2026-06-08T00:00:00.000Z,56.0,1399517.857142857
Panama Canal,2019-03-11T00:00:00.000Z,32.0,760346.2857142857
Panama Canal,2019-04-15T00:00:00.000Z,29.857142857142858,805584.7142857143
Panama Canal,2019-04-22T00:00:00.000Z,33.57142857142857,914935.5714285715
Panama Canal,2019-06-10T00:00:00.000Z,29.428571428571427,759458.7142857143
Panama Canal,2019-12-09T00:00:00.000Z,33.714285714285715,873865.0
Panama Canal,2019-12-23T00:00:00.000Z,31.285714285714285,804234.0
Panama Canal,2020-01-06T00:00:00.000Z,32.714285714285715,865590.1428571428
Panama Canal,2020-01-13T00:00:00.000Z,32.42857142857143,841244.4285714285
Panama Canal,2020-02-10T00:00:00.000Z,32.714285714285715,922138.8571428572
Panama Canal,2020-04-13T00:00:00.000Z,29.571428571428573,849532.4285714285
Panama Canal,2020-04-27T00:00:00.000Z,29.0,763472.0
Panama Canal,2020-08-10T00:00:00.000Z,28.714285714285715,718364.8571428572
Panama Canal,2021-05-03T00:00:00.000Z,31.428571428571427,904988.8571428572
Panama Canal,2021-05-24T00:00:00.000Z,31.142857142857142,831287.5714285715
Panama Canal,2021-12-13T00:00:00.000Z,35.857142857142854,958870.1428571428
Panama Canal,2022-01-31T00:00:00.000Z,34.142857142857146,926673.4285714285
Panama Canal,2022-10-03T00:00:00.000Z,32.42857142857143,789368.0
Panama Canal,2022-10-31T00:00:00.000Z,33.714285714285715,937553.2857142857
Panama Canal,2023-08-07T00:00:00.000Z,31.285714285714285,842727.0
Panama Canal,2023-11-20T00:00:00.000Z,23.142857142857142,612637.0
Panama Canal,2023-11-27T00:00:00.000Z,24.571428571428573,613212.2857142857
Panama Canal,2024-07-08T00:00:00.000Z,30.0,834004.1428571428
Panama Canal,2024-09-23T00:00:00.000Z,29.571428571428573,810645.2857142857
Panama Canal,2025-04-14T00:00:00.000Z,32.714285714285715,919875.5714285715
Panama Canal,2026-02-23T00:00:00.000Z,32.857142857142854,871622.4285714285
Panama Canal,2026-07-13T00:00:00.000Z,38.0,1146364.7142857143
Makassar Strait,2019-07-01T00:00:00.000Z,50.42857142857143,2524162.5714285714
Makassar Strait,2019-07-08T00:00:00.000Z,50.57142857142857,2529577.285714286
Makassar Strait,2019-08-12T00:00:00.000Z,48.42857142857143,2344854.5714285714
Makassar Strait,2019-11-04T00:00:00.000Z,47.42857142857143,2351975.285714286
Makassar Strait,2020-07-06T00:00:00.000Z,54.142857142857146,2440091.0
Makassar Strait,2020-12-21T00:00:00.000Z,57.142857142857146,2771094.4285714286
Makassar Strait,2021-02-15T00:00:00.000Z,60.142857142857146,2859957.0
Makassar Strait,2021-03-22T00:00:00.000Z,53.714285714285715,2350039.285714286
Makassar Strait,2021-06-07T00:00:00.000Z,54.857142857142854,2511478.5714285714
Makassar Strait,2021-08-02T00:00:00.000Z,51.42857142857143,2576179.8571428573
Makassar Strait,2022-01-10T00:00:00.000Z,43.285714285714285,2831091.285714286
Makassar Strait,2022-02-14T00:00:00.000Z,52.142857142857146,2767332.1428571427
Makassar Strait,2022-02-28T00:00:00.000Z,53.857142857142854,3014069.714285714
Makassar Strait,2022-11-21T00:00:00.000Z,58.142857142857146,3104152.285714286
Makassar Strait,2023-02-06T00:00:00.000Z,57.714285714285715,3165764.8571428573
Makassar Strait,2023-04-17T00:00:00.000Z,52.285714285714285,2679955.1428571427
Makassar Strait,2024-04-29T00:00:00.000Z,52.57142857142857,3582920.0
Makassar Strait,2024-05-27T00:00:00.000Z,55.142857142857146,2874961.285714286
Makassar Strait,2024-06-17T00:00:00.000Z,53.57142857142857,2985864.714285714
Makassar Strait,2025-07-07T00:00:00.000Z,38.0,2251071.8571428573
Makassar Strait,2025-08-25T00:00:00.000Z,46.142857142857146,3098747.0
Makassar Strait,2026-03-09T00:00:00.000Z,45.57142857142857,2540363.5714285714
Makassar Strait,2026-04-06T00:00:00.000Z,36.285714285714285,2524901.8571428573
Makassar Strait,2026-06-29T00:00:00.000Z,54.857142857142854,3401366.285714286
Yucatan Channel,2019-01-21T00:00:00.000Z,41.142857142857146,907657.8571428572
Yucatan Channel,2019-02-04T00:00:00.000Z,37.0,771956.8571428572
Yucatan Channel,2019-04-22T00:00:00.000Z,46.0,1263029.4285714286
Yucatan Channel,2019-05-13T00:00:00.000Z,39.285714285714285,899324.0
Yucatan Channel,2019-12-30T00:00:00.000Z,40.142857142857146,929437.4285714285
Yucatan Channel,2020-02-10T00:00:00.000Z,44.285714285714285,963438.2857142857
Yucatan Channel,2020-03-23T00:00:00.000Z,47.0,1104298.0
Yucatan Channel,2020-10-12T00:00:00.000Z,46.142857142857146,1024699.2857142857
Yucatan Channel,2021-04-19T00:00:00.000Z,47.285714285714285,1076337.857142857
Yucatan Channel,2021-06-07T00:00:00.000Z,45.285714285714285,1004628.0
Yucatan Channel,2021-07-05T00:00:00.000Z,44.57142857142857,963733.5714285715
Yucatan Channel,2021-08-02T00:00:00.000Z,46.285714285714285,964866.2857142857
Yucatan Channel,2021-08-16T00:00:00.000Z,43.714285714285715,749177.8571428572
Yucatan Channel,2022-03-28T00:00:00.000Z,47.142857142857146,1211895.142857143
Yucatan Channel,2022-06-06T00:00:00.000Z,48.42857142857143,1039077.4285714285
Yucatan Channel,2022-08-15T00:00:00.000Z,41.714285714285715,1076685.7142857143
Yucatan Channel,2022-10-24T00:00:00.000Z,45.42857142857143,1247585.5714285714
Yucatan Channel,2023-02-20T00:00:00.000Z,46.142857142857146,1193644.0
Yucatan Channel,2023-08-14T00:00:00.000Z,43.42857142857143,1134770.2857142857
Yucatan Channel,2023-10-09T00:00:00.000Z,47.0,957506.0
Yucatan Channel,2024-05-13T00:00:00.000Z,47.0,1197470.0
Yucatan Channel,2026-04-06T00:00:00.000Z,52.142857142857146,1389831.4285714286
Yucatan Channel,2026-07-06T00:00:00.000Z,53.857142857142854,1374795.7142857143
Windward Passage,2019-01-07T00:00:00.000Z,14.0,221099.2857142857
Windward Passage,2019-01-14T00:00:00.000Z,15.571428571428571,314772.14285714284
Windward Passage,2019-02-11T00:00:00.000Z,16.714285714285715,339972.4285714286
Windward Passage,2019-04-01T00:00:00.000Z,17.428571428571427,310606.5714285714
Windward Passage,2019-07-01T00:00:00.000Z,18.0,290064.28571428574
Windward Passage,2019-07-22T00:00:00.000Z,17.428571428571427,270660.0
Windward Passage,2019-09-09T00:00:00.000Z,15.571428571428571,226052.0
Windward Passage,2019-11-04T00:00:00.000Z,17.285714285714285,249236.0
Windward Passage,2020-03-16T00:00:00.000Z,17.0,247467.85714285713
Windward Passage,2020-03-23T00:00:00.000Z,13.142857142857142,216543.7142857143
Windward Passage,2020-04-13T00:00:00.000Z,15.714285714285714,275673.4285714286
Windward Passage,2020-11-09T00:00:00.000Z,21.142857142857142,543694.1428571428
Windward Passage,2020-12-28T00:00:00.000Z,16.857142857142858,269399.0
Windward Passage,2021-02-08T00:00:00.000Z,17.142857142857142,280975.0
Windward Passage,2021-11-22T00:00:00.000Z,16.0,278702.14285714284
Windward Passage,2022-01-24T00:00:00.000Z,15.0,259570.7142857143
Windward Passage,2022-04-25T00:00:00.000Z,16.428571428571427,312342.85714285716
Windward Passage,2022-08-15T00:00:00.000Z,16.714285714285715,314746.5714285714
Windward Passage,2023-06-05T00:00:00.000Z,16.0,251846.0
Windward Passage,2023-10-30T00:00:00.000Z,15.714285714285714,267126.4285714286
Windward Passage,2024-11-18T00:00:00.000Z,15.285714285714286,324282.14285714284
Windward Passage,2025-07-14T00:00:00.000Z,16.428571428571427,277756.85714285716
Windward Passage,2026-03-23T00:00:00.000Z,16.714285714285715,274088.5714285714
Windward Passage,2026-06-08T00:00:00.000Z,18.142857142857142,316415.5714285714
Windward Passage,2026-07-20T00:00:00.000Z,17.0,318547.14285714284
Kerch Strait,2019-03-11T00:00:00.000Z,47.285714285714285,107713.85714285714
Kerch Strait,2019-05-06T00:00:00.000Z,49.285714285714285,107409.28571428571
Kerch Strait,2019-07-15T00:00:00.000Z,71.42857142857143,169393.85714285713
Kerch Strait,2019-09-23T00:00:00.000Z,73.42857142857143,161913.57142857142
Kerch Strait,2020-01-13T00:00:00.000Z,45.285714285714285,82814.28571428571
Kerch Strait,2020-09-07T00:00:00.000Z,71.14285714285714,127358.28571428571
Kerch Strait,2020-10-12T00:00:00.000Z,75.42857142857143,151467.0
Kerch Strait,2021-02-01T00:00:00.000Z,61.857142857142854,122541.57142857143
Kerch Strait,2021-04-05T00:00:00.000Z,37.857142857142854,70731.28571428571
Kerch Strait,2021-05-17T00:00:00.000Z,43.0,82175.85714285714
Kerch Strait,2021-09-13T00:00:00.000Z,66.42857142857143,144207.14285714287
Kerch Strait,2022-03-07T00:00:00.000Z,8.0,6214.285714285715
Kerch Strait,2022-04-18T00:00:00.000Z,18.571428571428573,28044.14285714286
Kerch Strait,2022-10-31T00:00:00.000Z,15.714285714285714,25746.428571428572
Kerch Strait,2022-12-19T00:00:00.000Z,16.714285714285715,35743.57142857143
Kerch Strait,2023-02-20T00:00:00.000Z,15.857142857142858,28726.14285714286
Kerch Strait,2023-06-12T00:00:00.000Z,3.2857142857142856,5800.857142857143
Kerch Strait,2023-07-17T00:00:00.000Z,3.2857142857142856,4118.571428571428
Kerch Strait,2024-02-26T00:00:00.000Z,5.0,9045.142857142857
Kerch Strait,2024-03-04T00:00:00.000Z,10.0,15904.285714285714
Kerch Strait,2024-05-13T00:00:00.000Z,2.4285714285714284,5399.571428571428
Kerch Strait,2024-07-22T00:00:00.000Z,0.42857142857142855,5123.571428571428
Kerch Strait,2024-08-19T00:00:00.000Z,0.2857142857142857,162.28571428571428
Kerch Strait,2024-11-18T00:00:00.000Z,6.0,68159.71428571429
Kerch Strait,2025-04-28T00:00:00.000Z,2.5714285714285716,21035.0
Kerch Strait,2025-12-15T00:00:00.000Z,16.571428571428573,69868.0
Kerch Strait,2026-03-02T00:00:00.000Z,19.285714285714285,92430.14285714286
Kerch Strait,2026-03-23T00:00:00.000Z,14.285714285714286,62037.42857142857
Kerch Strait,2026-05-25T00:00:00.000Z,9.428571428571429,65734.57142857143
Kerch Strait,2026-06-15T00:00:00.000Z,11.428571428571429,67403.85714285714
Gibraltar Strait,2019-03-04T00:00:00.000Z,111.42857142857143,2901323.1428571427
Gibraltar Strait,2019-08-12T00:00:00.000Z,112.71428571428571,3156374.8571428573
Gibraltar Strait,2019-09-23T00:00:00.000Z,119.71428571428571,3090447.5714285714
Gibraltar Strait,2020-01-06T00:00:00.000Z,119.57142857142857,3165148.1428571427
Gibraltar Strait,2020-02-10T00:00:00.000Z,123.28571428571429,3265337.285714286
Gibraltar Strait,2020-02-24T00:00:00.000Z,130.42857142857142,3423446.8571428573
Gibraltar Strait,2020-08-10T00:00:00.000Z,121.85714285714286,2942261.285714286
Gibraltar Strait,2020-08-31T00:00:00.000Z,120.28571428571429,3295470.714285714
Gibraltar Strait,2021-05-17T00:00:00.000Z,131.71428571428572,3384274.714285714
Gibraltar Strait,2021-07-26T00:00:00.000Z,120.42857142857143,3245821.714285714
Gibraltar Strait,2021-09-06T00:00:00.000Z,129.0,3361168.4285714286
Gibraltar Strait,2022-02-21T00:00:00.000Z,120.42857142857143,3254484.1428571427
Gibraltar Strait,2022-04-18T00:00:00.000Z,135.85714285714286,3747439.1428571427
Gibraltar Strait,2022-06-06T00:00:00.000Z,142.42857142857142,3914896.714285714
